Time,Roll1,Pitch1,Yaw1,AccX1,AccY1,AccZ1,RotX1,RotY1,RotZ1,Roll2,Pitch2,Yaw2,AccX2,AccY2,AccZ2,RotX2,RotY2,RotZ2
1:25:10.935 PM,18.81,3.06,-54.53,0.05,0.31,0.91,-1.37,1.25,0.03,27.7,0.01,-47.44,0,0.46,0.88,-0.52,-0.34,-0.82
1:25:10.967 PM,19.26,3.34,-54.53,0.06,0.32,0.91,-1.41,1.31,0.1,27.72,0.24,-47.41,0,0.46,0.88,-0.4,-0.32,-1.02
1:25:11.057 PM,19.01,3.11,-54.53,0.05,0.31,0.91,-1.43,1.24,-0.05,27.58,0,-47.41,0,0.46,0.88,-0.66,-0.22,-1.05
1:25:11.150 PM,19.06,3.33,-54.54,0.06,0.31,0.9,-1.27,1.24,0.03,27.82,0.14,-47.41,0,0.46,0.88,-0.56,-0.31,-1.03
1:25:11.197 PM,18.98,3.24,-54.55,0.05,0.31,0.91,-1.22,1.28,0.01,27.65,0.11,-47.41,0,0.46,0.88,-0.59,-0.27,-0.99
1:25:11.289 PM,18.89,3.19,-54.55,0.05,0.31,0.91,-1.38,1.25,0.06,27.73,0,-47.4,0,0.46,0.88,-0.43,-0.34,-1
1:25:11.382 PM,19.02,3.1,-54.55,0.05,0.31,0.91,-1.42,1.26,0.08,27.77,0.14,-47.4,0,0.46,0.88,-0.53,-0.32,-0.9
1:25:11.430 PM,19.06,3.25,-54.55,0.05,0.31,0.91,-1.28,1.38,0.05,27.54,0.03,-47.38,0,0.46,0.88,-0.51,-0.16,-1.06
1:25:11.524 PM,19.34,3.17,-54.55,0.05,0.32,0.91,-1.44,1.4,0.11,27.7,0.1,-47.38,0,0.46,0.88,-0.72,0.05,-0.95
1:25:11.578 PM,18.98,3.18,-54.54,0.05,0.31,0.91,-1.41,1.44,0.07,27.72,0.14,-47.37,0,0.46,0.88,-0.68,-0.01,-0.98
1:25:11.666 PM,18.96,3.1,-54.54,0.05,0.31,0.91,-1.52,1.4,0.11,27.64,-0.18,-47.36,0,0.46,0.88,-0.85,0.15,-0.92
1:25:11.759 PM,18.81,3.3,-54.53,0.06,0.31,0.91,-1.5,1.43,0.04,27.4,-0.1,-47.34,0,0.46,0.88,-0.82,0.03,-1.1
1:25:11.805 PM,18.78,3.25,-54.54,0.05,0.31,0.91,-1.4,1.27,0.07,27.53,-0.2,-47.35,0,0.46,0.88,-0.6,-0.15,-0.99
1:25:11.899 PM,18.82,3.26,-54.53,0.05,0.31,0.91,-1.48,1.31,0.11,27.55,-0.2,-47.34,0,0.46,0.88,-0.49,-0.26,-0.94
1:25:11.992 PM,18.92,3.44,-54.53,0.06,0.31,0.9,-1.82,1.35,0.07,27.56,0.19,-47.33,0,0.46,0.89,-0.56,-0.28,-1.05
1:25:12.039 PM,18.34,3.46,-54.52,0.06,0.3,0.91,-1.69,1.26,-0.11,27.1,-0.21,-47.33,0,0.45,0.88,-0.65,-0.45,-1.37
1:25:12.131 PM,20.34,2.45,-54.55,0.04,0.34,0.91,-0.66,1.53,-0.56,27.47,0.24,-47.38,0,0.46,0.88,-0.36,-0.85,-1.5
1:25:12.225 PM,19.3,2.66,-54.64,0.04,0.32,0.91,-0.56,1.44,0.31,27.36,-0.88,-47.45,-0.02,0.45,0.88,-0.38,-0.24,-0.82
1:25:12.271 PM,18.77,3.73,-54.6,0.06,0.31,0.91,-1.11,1.21,-0.11,26.76,0.4,-47.42,0.01,0.45,0.89,0.23,-1.15,-1.2
1:25:12.366 PM,18.73,2.92,-54.63,0.05,0.31,0.9,-1.28,1.16,-0.06,27.78,-0.1,-47.45,0,0.46,0.88,-0.32,-0.29,-0.92
1:25:12.427 PM,18.81,3.1,-54.65,0.05,0.31,0.91,-1.19,1.08,0.17,27.99,-0.25,-47.43,0,0.47,0.88,-0.34,-0.5,-0.58
1:25:12.507 PM,18.92,3.38,-54.63,0.06,0.31,0.91,-1.37,1.27,0.06,27.03,0.24,-47.36,0,0.45,0.89,-0.03,-0.74,-0.97
1:25:12.600 PM,18.69,3.1,-54.63,0.05,0.31,0.91,-0.9,1.16,0.01,27.4,-0.17,-47.35,0,0.46,0.88,-0.37,-0.44,-0.92
1:25:12.646 PM,18.96,3.34,-54.64,0.06,0.31,0.91,-1.18,1.15,0.18,27.77,0.14,-47.33,0,0.46,0.88,-0.41,-0.45,-0.57
1:25:12.753 PM,18.82,3.18,-54.62,0.05,0.31,0.9,-1.3,1.38,0,27.55,0.03,-47.26,0,0.46,0.88,-0.39,-0.36,-1.09
1:25:12.795 PM,19.21,3.3,-54.63,0.06,0.32,0.91,-1.18,1.17,-0.03,27.67,0.45,-47.27,0.01,0.46,0.88,-0.63,-0.28,-1.01
1:25:12.892 PM,19.13,3.07,-54.64,0.05,0.31,0.9,-1.37,1.32,0.04,27.85,0.18,-47.26,0,0.47,0.88,-0.6,-0.27,-0.96
1:25:12.978 PM,18.69,3.28,-54.64,0.05,0.31,0.91,-1.59,1.5,0.13,27.39,0.11,-47.25,0,0.46,0.88,-0.61,-0.18,-1.08
1:25:13.101 PM,18.98,3.1,-54.63,0.05,0.31,0.91,-1.56,1.09,0.02,27.75,0.1,-47.26,0,0.46,0.88,-0.8,-0.05,-0.99
1:25:13.154 PM,18.87,3.18,-54.64,0.05,0.31,0.91,-1.42,1.43,0.04,27.6,-0.06,-47.25,0,0.46,0.88,-0.76,-0.04,-1.1
1:25:13.198 PM,18.81,3.27,-54.64,0.05,0.31,0.91,-1.21,1.36,-0.05,27.4,0.01,-47.26,0,0.46,0.88,-0.87,-0.1,-1.07
1:25:13.514 PM,18.8,3.15,-54.66,0.05,0.31,0.91,-1.29,1.23,-0.01,27.52,-0.02,-47.27,0,0.46,0.88,-0.53,-0.26,-1.07
1:25:13.514 PM,18.81,3.23,-54.67,0.05,0.31,0.91,-1.26,1.31,0.08,27.52,-0.04,-47.27,0,0.46,0.88,-0.48,-0.28,-0.98
1:25:13.514 PM,18.68,3.18,-54.66,0.05,0.31,0.91,-1.47,1.27,-0.02,27.33,-0.03,-47.26,0,0.46,0.88,-0.61,-0.19,-1.08
1:25:13.514 PM,18.77,3.32,-54.67,0.06,0.31,0.91,-1.37,1.26,0.07,27.55,-0.1,-47.27,0,0.46,0.88,-0.63,-0.17,-0.97
1:25:13.594 PM,18.59,3.22,-54.67,0.05,0.31,0.91,-1.27,1.37,0.01,27.42,-0.06,-47.26,0,0.46,0.88,-0.69,-0.22,-0.98
1:25:13.665 PM,18.82,3.26,-54.68,0.05,0.31,0.91,-1.33,1.21,-0.01,27.69,0.1,-47.25,0,0.46,0.88,-0.47,-0.35,-0.97
1:25:13.736 PM,18.94,3.19,-54.69,0.05,0.31,0.91,-1.58,1.24,0.09,27.59,-0.02,-47.24,0,0.46,0.88,-0.58,-0.23,-1.02
1:25:13.821 PM,18.95,3.17,-54.68,0.05,0.31,0.91,-1.09,1.27,0,27.55,0.03,-47.24,0,0.46,0.88,-0.38,-0.41,-0.99
1:25:13.898 PM,18.93,3.25,-54.69,0.05,0.31,0.91,-1.19,1.27,0.04,27.44,0.06,-47.23,0,0.46,0.88,-0.6,-0.42,-0.89
1:25:14.008 PM,18.67,3.36,-54.69,0.06,0.31,0.91,-1.72,1.34,0.18,27.31,-0.02,-47.21,0,0.46,0.88,-0.47,-0.27,-1.01
1:25:14.088 PM,18.57,3.11,-54.68,0.05,0.31,0.91,-1.49,1.11,0.14,27.55,-0.2,-47.21,0,0.46,0.88,-0.5,-0.46,-0.67
1:25:14.139 PM,18.7,3.18,-54.66,0.05,0.31,0.91,-1.44,1.05,0.27,27.59,-0.16,-47.15,0,0.46,0.88,-0.68,-0.47,-0.63
1:25:14.192 PM,19.07,3.12,-54.63,0.05,0.31,0.91,-1.48,1.34,0.05,27.52,0.31,-47.09,0.01,0.46,0.88,-1.03,-0.1,-0.85
1:25:14.292 PM,18.98,3.02,-54.63,0.05,0.31,0.91,-1.36,1.35,0.11,27.48,0.04,-47.06,0,0.46,0.88,-0.79,-0.24,-1.01
1:25:14.354 PM,18.91,3.07,-54.62,0.05,0.31,0.91,-1.76,1.27,-0.05,27.42,0.25,-47.06,0,0.46,0.88,-0.84,-0.15,-1.28
1:25:14.511 PM,18.53,3.36,-54.64,0.06,0.3,0.91,-1.6,1.44,-0.05,27.16,-0.04,-47.1,0,0.45,0.88,-1.25,0.18,-1.25
1:25:14.511 PM,18.66,3.25,-54.65,0.05,0.31,0.91,-1.8,1.45,0.02,27.24,0,-47.13,0,0.46,0.89,-1.16,0.38,-1.15
1:25:14.554 PM,18.38,3.07,-54.66,0.05,0.3,0.91,-1.6,1.56,-0.08,27.19,-0.23,-47.14,0,0.45,0.88,-1.18,0.47,-1.41
1:25:14.643 PM,18.45,3.24,-54.68,0.05,0.3,0.91,-1.82,1.31,-0.05,27.08,-0.38,-47.2,-0.01,0.45,0.89,-1.02,0.17,-1.4
1:25:14.721 PM,18.34,3.16,-54.7,0.05,0.3,0.91,-1.76,1.39,-0.01,26.85,-0.14,-47.26,0,0.45,0.89,-0.94,0.07,-1.2
1:25:14.806 PM,17.81,3.37,-54.71,0.06,0.29,0.91,-1.19,1.37,-0.03,27.05,-0.31,-47.28,-0.01,0.45,0.89,-0.83,0.19,-0.84
1:25:14.872 PM,18.97,3.14,-54.72,0.05,0.31,0.91,-1.98,1.88,-0.35,27.58,0.08,-47.25,0,0.47,0.89,-0.79,1.4,-2.95
1:25:15.037 PM,18.58,2.5,-54.78,0.04,0.31,0.91,-2.26,1.61,-0.05,26.61,-1.32,-47.55,-0.02,0.44,0.88,-1.54,1.57,-2.77
1:25:15.037 PM,18.28,2.93,-54.8,0.05,0.3,0.91,-1.54,1.34,0.14,26.59,-1.37,-47.81,-0.02,0.44,0.89,-1.05,0.32,-1.24
1:25:15.109 PM,18.25,3.1,-54.79,0.05,0.3,0.91,-1.86,1.47,0.05,26.52,-1.17,-47.84,-0.02,0.44,0.89,-1.07,0.31,-1.05
1:25:15.177 PM,17.77,2.85,-54.79,0.05,0.29,0.91,-1.32,1.34,0.11,26.25,-1.6,-47.84,-0.03,0.44,0.89,-0.79,-0.11,-0.76
1:25:15.242 PM,17.7,3.25,-54.78,0.05,0.29,0.91,-1.11,1.05,-0.02,26.22,-1.21,-47.8,-0.02,0.44,0.89,-0.4,-0.77,-0.77
1:25:15.360 PM,17.51,3.04,-54.79,0.05,0.29,0.91,-1.31,1.39,-0.1,26.21,-1.47,-47.76,-0.03,0.44,0.89,-0.87,-0.14,-1.18
1:25:15.400 PM,18.46,2.81,-54.81,0.05,0.3,0.91,-1.24,0.98,0.04,26.29,-1.45,-47.79,-0.02,0.44,0.88,-0.27,-0.92,-0.73
