Time,Roll1,Pitch1,Yaw1,AccX1,AccY1,AccZ1,RotX1,RotY1,RotZ1,Roll2,Pitch2,Yaw2,AccX2,AccY2,AccZ2,RotX2,RotY2,RotZ2
1900-01-01 16:45:46.327,43.93,44.78,1.24,0.71,0.7,0.15,-0.52,-0.26,-0.95,54.23,27.25,-0.65,0.45,0.8,0.36,-1.42,1.18,-0.02
1900-01-01 16:45:46.327,43.97,44.68,1.25,0.71,0.7,0.15,-0.3,-0.36,-0.89,54.12,27.35,-0.66,0.45,0.8,0.36,-1.07,1.37,-0.05
1900-01-01 16:45:46.409,43.93,44.86,1.27,0.71,0.7,0.15,-0.62,-0.18,-1.08,54.58,27.1,-0.68,0.45,0.8,0.35,-1.33,1.48,-0.01
1900-01-01 16:45:46.472,43.78,44.92,1.27,0.71,0.7,0.15,-0.47,-0.31,-1.01,53.95,27.53,-0.69,0.46,0.8,0.36,-0.98,1.5,-0.05
1900-01-01 16:45:46.551,44.05,44.65,1.27,0.71,0.7,0.15,0.05,-0.09,-0.96,54.56,26.89,-0.7,0.44,0.8,0.36,-0.63,1.77,-0.25
1900-01-01 16:45:46.645,43.64,44.98,1.28,0.71,0.69,0.15,2.85,-0.31,-0.98,53.34,28.08,-0.75,0.46,0.78,0.36,5.91,4.05,-2.51
1900-01-01 16:45:46.692,43.77,45.15,1.29,0.71,0.7,0.14,12.92,-1.37,0.67,56.58,25.75,-1.14,0.43,0.82,0.33,20.58,10.79,-6.92
1900-01-01 16:45:46.787,44.43,45.07,1.55,0.72,0.71,0.09,-1.4,-0.33,-1.4,59.4,24.57,-2.21,0.41,0.85,0.29,-1.25,1.21,-0.5
1900-01-01 16:45:46.863,44.32,44.94,1.5,0.72,0.71,0.11,-0.15,-0.43,-0.74,58.71,24.81,-2.29,0.42,0.85,0.3,-1.99,0.86,-0.04
1900-01-01 16:45:46.928,44.15,45.1,1.54,0.71,0.7,0.11,-0.9,0.08,-0.98,58.16,25.13,-2.31,0.42,0.83,0.31,-2.15,0.82,0.11
1900-01-01 16:45:47.010,44.55,44.6,1.55,0.71,0.71,0.12,-0.66,-0.54,-1.31,57.95,25.01,-2.3,0.42,0.83,0.32,-1.08,0.92,-0.29
1900-01-01 16:45:47.068,43.86,45.46,1.51,0.72,0.7,0.11,-1.22,-0.26,-1.32,58.42,24.78,-2.35,0.41,0.83,0.31,-2.33,1.34,0.15
1900-01-01 16:45:47.162,43.96,45.31,1.47,0.71,0.7,0.11,-0.63,-0.44,-1.03,58.02,25.25,-2.34,0.42,0.83,0.31,-1.41,1.2,-0.01
1900-01-01 16:45:47.257,43.98,45.26,1.47,0.72,0.7,0.12,-0.76,-0.36,-0.83,58.09,25.18,-2.35,0.42,0.84,0.31,-1.43,0.8,0.21
1900-01-01 16:45:47.303,44.43,44.77,1.5,0.71,0.71,0.12,-0.52,-0.43,-0.7,58.4,24.56,-2.32,0.41,0.84,0.31,-1.42,1.07,0.21
1900-01-01 16:45:47.407,44.34,44.81,1.55,0.71,0.7,0.12,-0.39,-0.42,-0.98,57.91,25.13,-2.3,0.42,0.83,0.31,-0.98,1.39,0.08
1900-01-01 16:45:47.451,44.06,45.19,1.56,0.71,0.7,0.11,-0.31,-0.47,-1.02,58.3,24.89,-2.29,0.41,0.84,0.31,-0.13,1.32,-0.04
1900-01-01 16:45:47.573,43.97,45.3,1.56,0.72,0.7,0.11,-0.47,-0.08,-1.0,58.2,25.08,-2.31,0.42,0.84,0.31,-1.48,0.14,0.38
1900-01-01 16:45:47.679,44.26,44.93,1.57,0.72,0.71,0.12,-0.61,-0.21,-0.92,57.75,25.32,-2.26,0.42,0.83,0.31,-1.02,0.63,0.08
1900-01-01 16:45:47.679,44.33,44.89,1.59,0.71,0.7,0.12,-0.35,-0.24,-0.97,58.23,25.16,-2.25,0.42,0.83,0.3,-0.61,1.43,-0.03
1900-01-01 16:45:47.788,44.14,45.05,1.6,0.71,0.7,0.12,-0.56,-0.25,-1.14,57.85,25.42,-2.27,0.42,0.83,0.31,-0.87,1.5,-0.03
1900-01-01 16:45:47.885,44.15,45.14,1.58,0.72,0.7,0.11,-0.4,-0.27,-0.98,58.64,24.81,-2.28,0.41,0.84,0.3,-0.72,1.6,-0.05
1900-01-01 16:45:47.921,44.2,45.07,1.59,0.71,0.7,0.11,-0.56,-0.28,-1.02,58.39,25.14,-2.3,0.42,0.84,0.3,-1.11,1.24,-0.02
1900-01-01 16:45:48.009,44.38,44.84,1.59,0.71,0.71,0.12,-0.21,-0.2,-0.89,58.06,25.27,-2.31,0.42,0.83,0.31,-0.73,1.29,-0.03
1900-01-01 16:45:48.105,44.29,44.99,1.62,0.71,0.7,0.11,-0.15,0.08,-1.11,58.47,25.07,-2.32,0.42,0.84,0.3,-0.88,1.42,0.07
1900-01-01 16:45:48.151,44.18,45.07,1.6,0.72,0.7,0.12,-0.51,-0.17,-1.02,58.09,25.41,-2.32,0.42,0.84,0.3,-1.19,1.17,0.15
1900-01-01 16:45:48.248,44.52,44.71,1.61,0.71,0.71,0.12,-0.36,-0.26,-0.85,58.32,25.17,-2.31,0.42,0.84,0.3,-1.18,1.32,0.05
1900-01-01 16:45:48.292,44.42,44.85,1.64,0.71,0.71,0.11,-0.52,-0.23,-1.05,58.42,25.08,-2.31,0.42,0.84,0.3,-1.08,1.56,0.09
1900-01-01 16:45:48.386,44.55,44.68,1.64,0.71,0.71,0.12,-0.29,-0.28,-1.05,58.73,24.82,-2.3,0.42,0.85,0.3,-1.04,1.49,0.21
1900-01-01 16:45:48.531,44.37,44.92,1.63,0.71,0.7,0.11,-0.43,-0.21,-1.07,58.44,25.2,-2.28,0.42,0.84,0.3,-1.22,1.46,-0.02
1900-01-01 16:45:48.545,44.27,45.01,1.63,0.71,0.71,0.11,-0.52,-0.42,-0.92,58.59,25.1,-2.29,0.42,0.84,0.3,-1.23,1.08,-0.02
1900-01-01 16:45:48.622,44.42,44.83,1.65,0.71,0.71,0.11,-0.4,-0.19,-1.02,58.55,24.98,-2.3,0.42,0.84,0.3,-1.21,1.35,0.15
1900-01-01 16:45:48.669,44.33,44.91,1.65,0.71,0.7,0.12,-0.49,-0.31,-1.02,58.22,25.29,-2.29,0.42,0.83,0.3,-1.11,1.14,0.0
1900-01-01 16:45:48.781,44.36,44.91,1.65,0.71,0.71,0.11,-0.43,-0.21,-1.02,58.54,25.13,-2.3,0.42,0.84,0.3,-1.24,1.37,0.02
1900-01-01 16:45:48.863,44.31,44.96,1.66,0.71,0.7,0.11,-0.33,-0.16,-1.09,58.33,25.3,-2.3,0.42,0.84,0.3,-1.24,1.36,0.02
1900-01-01 16:45:48.904,44.4,44.86,1.65,0.71,0.71,0.11,-0.4,-0.31,-0.95,58.7,24.99,-2.31,0.42,0.84,0.3,-1.2,1.34,-0.05
1900-01-01 16:45:48.999,44.37,44.9,1.66,0.71,0.7,0.11,-0.39,-0.2,-0.94,58.44,25.2,-2.32,0.42,0.84,0.3,-1.14,1.32,-0.04
1900-01-01 16:45:49.095,44.33,44.91,1.68,0.71,0.71,0.12,-0.39,-0.11,-1.08,58.61,25.03,-2.34,0.42,0.84,0.3,-0.98,1.74,0.03
1900-01-01 16:45:49.143,44.37,44.88,1.67,0.71,0.71,0.11,-0.44,-0.25,-0.9,58.6,24.97,-2.34,0.42,0.84,0.3,-1.19,1.47,0.11
1900-01-01 16:45:49.238,44.31,44.98,1.69,0.71,0.7,0.11,-0.36,0.1,-0.92,58.87,24.92,-2.33,0.42,0.85,0.3,-1.0,1.67,0.04
1900-01-01 16:45:49.285,44.46,44.79,1.71,0.71,0.71,0.12,-0.11,-0.29,-0.83,58.33,25.2,-2.33,0.42,0.84,0.3,-0.96,1.69,-0.01
1900-01-01 16:45:49.381,44.59,44.7,1.74,0.71,0.71,0.11,-0.75,0.01,-1.17,58.72,24.86,-2.34,0.41,0.84,0.3,-1.36,1.53,-0.02
1900-01-01 16:45:49.474,44.69,44.57,1.72,0.71,0.71,0.11,-0.64,-0.33,-1.17,58.34,25.17,-2.35,0.42,0.84,0.3,-1.16,1.38,0.05
1900-01-01 16:45:49.521,44.38,44.91,1.7,0.71,0.71,0.11,-0.66,-0.34,-0.96,58.71,24.96,-2.36,0.42,0.84,0.3,-1.4,1.51,0.03
1900-01-01 16:45:49.615,44.34,44.92,1.71,0.71,0.7,0.11,-0.48,-0.3,-0.92,58.49,25.14,-2.36,0.42,0.84,0.3,-1.42,1.04,0.11
1900-01-01 16:45:49.662,44.59,44.72,1.73,0.71,0.71,0.11,-0.38,-0.29,-0.94,58.91,24.77,-2.35,0.41,0.84,0.3,-1.02,1.29,0.15
1900-01-01 16:45:49.757,44.48,44.71,1.75,0.71,0.71,0.12,-0.52,-0.34,-0.93,58.25,25.17,-2.34,0.42,0.84,0.3,-1.11,1.26,0.01
1900-01-01 16:45:49.852,44.29,44.97,1.76,0.72,0.71,0.11,-0.78,-0.15,-1.13,58.37,25.21,-2.34,0.42,0.84,0.3,-1.43,1.24,0.14
1900-01-01 16:45:49.901,44.38,44.88,1.75,0.71,0.71,0.11,-0.63,-0.21,-0.94,58.62,24.99,-2.33,0.42,0.84,0.3,-1.24,1.09,-0.05
1900-01-01 16:45:49.993,44.43,44.84,1.77,0.71,0.71,0.11,-0.5,-0.27,-0.92,58.46,25.14,-2.35,0.42,0.84,0.3,-1.4,1.1,0.04
1900-01-01 16:45:50.040,44.53,44.7,1.78,0.71,0.71,0.12,-0.6,-0.27,-0.76,58.37,25.13,-2.35,0.42,0.84,0.3,-1.34,1.22,-0.04
1900-01-01 16:45:50.133,44.36,44.94,1.83,0.71,0.71,0.11,-0.66,-0.11,-1.18,58.66,25.03,-2.37,0.42,0.84,0.3,-1.28,1.46,0.08
1900-01-01 16:45:50.226,44.39,44.91,1.8,0.71,0.71,0.11,-0.34,-0.37,-1.04,58.6,25.11,-2.36,0.42,0.84,0.3,-1.07,1.29,-0.05
1900-01-01 16:45:50.273,44.5,44.73,1.8,0.71,0.71,0.12,-0.34,-0.31,-0.82,58.34,25.29,-2.38,0.42,0.84,0.3,-1.05,1.37,-0.01
1900-01-01 16:45:50.367,44.48,44.77,1.84,0.71,0.71,0.12,-0.75,-0.34,-1.01,58.41,25.16,-2.39,0.42,0.84,0.3,-1.29,1.4,0.18
1900-01-01 16:45:50.460,44.49,44.78,1.84,0.71,0.71,0.11,-0.56,-0.37,-0.96,58.62,24.9,-2.37,0.42,0.84,0.3,-1.26,1.3,0.07
1900-01-01 16:45:50.507,44.49,44.82,1.85,0.71,0.7,0.11,-0.47,-0.27,-0.98,58.89,25.0,-2.37,0.42,0.84,0.29,-1.1,1.24,-0.08
1900-01-01 16:45:50.602,44.39,44.89,1.86,0.71,0.71,0.11,-0.5,-0.3,-0.9,58.56,25.02,-2.39,0.42,0.84,0.3,-1.23,1.27,0.04
1900-01-01 16:45:50.650,44.49,44.78,1.88,0.71,0.71,0.11,-0.65,-0.53,-1.15,58.43,25.17,-2.39,0.42,0.84,0.3,-1.15,1.24,-0.04
1900-01-01 16:45:50.744,44.61,44.72,1.87,0.71,0.71,0.11,-0.67,-0.05,-1.05,58.78,24.87,-2.4,0.42,0.85,0.3,-1.46,1.11,0.18
1900-01-01 16:45:50.840,44.56,44.69,1.87,0.71,0.71,0.11,-0.5,-0.41,-1.04,58.5,25.23,-2.39,0.42,0.84,0.3,-1.21,1.05,-0.02
1900-01-01 16:45:50.886,44.68,44.6,1.87,0.71,0.71,0.11,-0.67,-0.13,-1.04,58.6,24.94,-2.4,0.42,0.84,0.3,-1.55,1.08,0.21
1900-01-01 16:45:50.980,44.65,44.6,1.87,0.71,0.71,0.11,-0.54,-0.34,-1.07,58.43,25.17,-2.37,0.42,0.84,0.3,-1.33,1.22,-0.16
1900-01-01 16:45:51.075,44.51,44.76,1.86,0.71,0.71,0.11,-0.51,-0.17,-0.97,58.67,25.01,-2.41,0.42,0.84,0.3,-1.26,1.22,0.03
1900-01-01 16:45:51.122,44.49,44.74,1.87,0.71,0.71,0.12,-0.54,-0.42,-1.09,58.43,25.13,-2.41,0.42,0.84,0.3,-1.23,1.24,-0.12
1900-01-01 16:45:51.217,44.33,44.98,1.86,0.71,0.7,0.11,-0.42,-0.16,-1.02,58.66,25.0,-2.44,0.42,0.84,0.3,-1.08,1.61,0.03
1900-01-01 16:45:51.264,44.53,44.76,1.87,0.71,0.7,0.11,-0.31,-0.39,-1.04,58.89,24.97,-2.44,0.41,0.84,0.29,-0.84,1.34,-0.31
1900-01-01 16:45:51.359,44.63,44.66,1.87,0.71,0.71,0.11,-1.5,0.05,-1.46,58.82,25.12,-2.5,0.42,0.84,0.29,-0.76,1.73,0.23
1900-01-01 16:45:51.453,44.58,44.68,1.8,0.7,0.7,0.11,-1.56,0.21,-1.6,59.31,24.49,-2.47,0.41,0.84,0.29,0.71,2.44,0.17
1900-01-01 16:45:51.500,44.93,44.23,1.72,0.7,0.71,0.12,-0.99,-0.25,-1.91,59.11,24.96,-2.45,0.42,0.85,0.29,2.63,2.42,0.76
