,Time,Roll1,Pitch1,Yaw1,AccX1,AccY1,AccZ1,RotX1,RotY1,RotZ1,Roll2,Pitch2,Yaw2,AccX2,AccY2,AccZ2,RotX2,RotY2,RotZ2
0,1900-01-01 17:15:45.670,41.28,18.67,0.49,0.32,0.66,0.68,-0.31,-0.34,-0.81,8.28,4.0,-0.12,0.07,0.14,0.95,-1.49,1.12,0.1
1,1900-01-01 17:15:45.670,41.29,18.61,0.52,0.32,0.66,0.68,-0.4,-0.05,-0.81,8.11,4.04,-0.11,0.07,0.14,0.95,-1.51,1.15,0.17
2,1900-01-01 17:15:45.721,41.29,18.65,0.56,0.32,0.66,0.68,-0.4,0.11,-1.01,8.06,4.06,-0.09,0.07,0.14,0.95,-1.35,1.38,0.12
3,1900-01-01 17:15:45.788,41.31,18.58,0.56,0.32,0.66,0.68,-0.44,-0.08,-1.05,8.2,4.1,-0.08,0.07,0.14,0.95,-1.37,1.39,0.11
4,1900-01-01 17:15:45.882,41.38,18.7,0.56,0.32,0.66,0.68,-0.28,-0.38,-0.86,8.05,4.04,-0.08,0.07,0.14,0.96,-1.36,1.14,0.04
5,1900-01-01 17:15:45.976,41.22,18.69,0.59,0.32,0.66,0.68,-0.06,-0.34,-0.59,8.03,4.14,-0.08,0.07,0.13,0.95,-1.43,1.11,0.06
6,1900-01-01 17:15:46.054,41.26,18.55,0.66,0.32,0.66,0.68,-0.36,-0.54,-0.65,7.98,4.05,-0.08,0.07,0.13,0.95,-1.32,1.08,0.02
7,1900-01-01 17:15:46.117,41.24,18.79,0.72,0.32,0.66,0.68,-0.57,-0.4,-1.02,7.98,4.08,-0.08,0.07,0.13,0.95,-1.27,1.08,-0.08
8,1900-01-01 17:15:46.212,41.39,18.66,0.72,0.32,0.66,0.68,-0.85,-0.23,-1.21,8.0,4.09,-0.1,0.07,0.13,0.95,-1.18,1.21,-0.02
9,1900-01-01 17:15:46.258,41.28,18.84,0.7,0.32,0.66,0.68,-0.42,-0.42,-1.04,8.11,4.17,-0.12,0.07,0.14,0.95,-1.0,1.28,0.0
10,1900-01-01 17:15:46.350,41.02,18.85,0.7,0.32,0.66,0.68,-0.43,-0.59,-0.74,7.8,4.15,-0.13,0.07,0.13,0.95,-1.17,1.2,0.08
11,1900-01-01 17:15:46.396,41.22,18.84,0.74,0.32,0.66,0.68,-0.43,-0.5,-0.8,8.12,4.2,-0.12,0.07,0.14,0.95,-1.15,1.27,0.02
12,1900-01-01 17:15:46.510,41.29,18.96,0.78,0.33,0.66,0.68,-0.62,-0.34,-1.01,8.14,4.16,-0.13,0.07,0.14,0.95,-1.2,1.24,-0.04
13,1900-01-01 17:15:46.565,41.16,18.8,0.79,0.32,0.66,0.68,-0.62,-0.44,-1.21,8.09,4.25,-0.14,0.07,0.14,0.95,-1.13,1.33,-0.16
14,1900-01-01 17:15:46.649,40.98,19.0,0.76,0.33,0.66,0.68,-0.64,-0.28,-1.16,8.05,4.39,-0.17,0.07,0.14,0.95,-1.27,1.28,-0.1
15,1900-01-01 17:15:46.741,40.93,18.69,0.74,0.32,0.65,0.68,-0.56,-0.3,-0.96,7.62,4.27,-0.2,0.07,0.13,0.95,-1.29,1.45,-0.16
16,1900-01-01 17:15:46.919,40.84,18.96,0.75,0.33,0.66,0.69,-0.6,-0.35,-1.13,7.61,4.57,-0.23,0.08,0.13,0.95,-1.25,1.66,-0.2
17,1900-01-01 17:15:46.985,41.33,18.62,0.74,0.32,0.66,0.68,-0.43,-0.47,-1.44,7.86,4.01,-0.27,0.07,0.13,0.95,-0.88,1.68,-0.29
18,1900-01-01 17:15:46.985,42.65,18.15,0.68,0.31,0.68,0.67,-0.51,0.15,-0.69,8.46,3.46,-0.32,0.06,0.14,0.95,-2.09,0.95,0.25
19,1900-01-01 17:15:47.094,41.76,18.91,0.73,0.33,0.67,0.67,-0.46,-0.48,-0.87,8.32,4.0,-0.29,0.07,0.14,0.96,-1.63,0.96,0.07
20,1900-01-01 17:15:47.130,41.79,18.68,0.76,0.32,0.67,0.67,-0.14,-0.23,-0.89,8.74,3.74,-0.29,0.06,0.15,0.95,-1.31,1.24,0.14
21,1900-01-01 17:15:47.175,41.09,18.93,0.78,0.33,0.66,0.68,0.05,-0.44,-1.27,8.8,4.0,-0.28,0.07,0.15,0.95,-0.76,1.5,-0.1
