Time,Roll2,Pitch2,Yaw2,AccX2,AccY2,AccZ2,RotX2,RotY2,RotZ2,Roll1,Pitch1,Yaw1,AccX1,AccY1,AccZ1,RotX1,RotY1,RotZ1
1900-01-01 12:18:41.970,39.22,7.92,0.46,0.14,0.63,0.76,1.86,-0.93,-0.83,26.24,18.24,-0.25,0.3,0.43,0.81,-0.26,0.16,-0.37
1900-01-01 12:18:42.065,39.97,9.27,0.49,0.16,0.64,0.75,0.79,0.26,-0.99,27.15,18.99,-0.32,0.32,0.44,0.81,-0.42,0.66,0.26
1900-01-01 12:18:42.112,39.98,9.02,0.5,0.16,0.64,0.75,-0.5,0.03,-1.11,27.19,19.0,-0.29,0.32,0.44,0.8,-1.15,1.4,0.21
1900-01-01 12:18:42.207,39.94,8.55,0.49,0.15,0.64,0.75,-0.69,-0.34,-1.02,26.7,18.88,-0.26,0.31,0.44,0.81,-0.98,1.5,0.0
1900-01-01 12:18:42.255,40.14,8.95,0.49,0.16,0.64,0.75,-0.39,-0.42,-0.87,27.29,18.83,-0.27,0.31,0.44,0.8,-1.5,1.27,-0.05
1900-01-01 12:18:42.348,39.74,8.73,0.52,0.15,0.64,0.75,-0.5,-0.21,-1.08,26.8,18.87,-0.29,0.31,0.44,0.81,-1.25,1.27,-0.03
1900-01-01 12:18:42.442,40.13,8.83,0.51,0.15,0.64,0.75,-0.61,-0.09,-1.02,27.15,18.95,-0.3,0.31,0.44,0.8,-1.56,1.31,0.11
1900-01-01 12:18:42.489,39.93,8.73,0.51,0.15,0.64,0.75,-0.69,-0.26,-0.98,26.73,18.66,-0.29,0.31,0.44,0.81,-1.25,1.44,0.02
1900-01-01 12:18:42.583,40.09,8.87,0.52,0.15,0.64,0.75,-0.6,-0.31,-0.85,26.86,18.92,-0.3,0.32,0.44,0.81,-1.64,1.31,0.0
1900-01-01 12:18:42.630,40.0,8.71,0.55,0.15,0.64,0.75,-0.59,-0.37,-1.03,26.87,18.82,-0.31,0.31,0.44,0.81,-1.38,1.27,-0.11
1900-01-01 12:18:42.724,40.12,8.85,0.55,0.15,0.64,0.75,-1.15,-0.21,-1.06,26.79,18.88,-0.33,0.31,0.44,0.81,-1.69,1.45,0.01
1900-01-01 12:18:42.818,39.75,8.89,0.55,0.15,0.64,0.75,-0.93,-0.34,-1.2,27.56,19.02,-0.34,0.32,0.45,0.8,-0.63,1.7,0.11
1900-01-01 12:18:42.866,38.0,9.78,0.53,0.17,0.62,0.77,-4.56,-0.46,-1.11,26.01,20.28,-0.33,0.34,0.42,0.8,0.54,4.66,0.93
1900-01-01 12:18:42.960,39.62,8.7,0.52,0.15,0.64,0.75,-0.71,1.05,-2.78,28.02,17.71,-0.2,0.29,0.46,0.8,-1.04,9.69,-0.13
1900-01-01 12:18:43.054,39.97,6.99,0.25,0.12,0.63,0.74,-1.95,2.18,-2.19,27.38,16.4,-0.23,0.27,0.44,0.81,-2.27,4.29,2.5
